gr_liv_area,total_bsmt_sf,garage_area,mas_vnr_area,overall_qual,fireplace_qu,age,since_reno,tot_baths,neighbor_h,neighbor_l,garage_type_a,gr_liv_area overall_qual,garage_area overall_qual,saleprice
2270,1152.0,671.0,348.0,8,4,11,3,2.5,1,0,1,18160.0,5368.0,290000
2610,1184.0,550.0,0.0,8,4,3,3,2.5,0,0,1,20880.0,4400.0,303477
1483,1420.0,690.0,0.0,7,3,33,9,2.5,0,0,1,10381.0,4830.0,270000
1740,936.0,225.0,0.0,5,4,90,60,1.0,0,1,0,8700.0,1125.0,122250
1382,1382.0,350.0,0.0,5,0,55,55,1.5,0,0,1,6910.0,1750.0,153000
1120,1120.0,0.0,0.0,5,0,3,3,1.0,0,0,0,5600.0,0.0,147000
1098,531.0,216.0,0.0,7,4,80,15,2.0,0,0,0,7686.0,1512.0,148500
1708,976.0,380.0,117.0,7,0,6,6,2.0,0,1,0,11956.0,2660.0,130000
1802,1802.0,843.0,510.0,9,4,4,4,2.5,1,0,1,16218.0,7587.0,372000
1506,1362.0,440.0,145.0,7,4,5,5,2.0,0,0,1,10542.0,3080.0,213490
1508,1508.0,572.0,96.0,7,3,1,0,2.0,0,1,1,10556.0,4004.0,308030
2032,1840.0,786.0,668.0,7,0,14,13,4.0,0,0,1,14224.0,5502.0,300000
1194,655.0,539.0,0.0,6,2,51,51,1.5,0,0,1,7164.0,3234.0,159500
1709,970.0,380.0,50.0,7,0,6,6,2.0,0,1,0,11963.0,2660.0,137500
1616,1616.0,834.0,228.0,7,0,5,5,2.0,0,0,1,11312.0,5838.0,232000
768,768.0,440.0,0.0,6,0,80,60,1.0,0,1,0,4608.0,2640.0,93850
872,872.0,322.0,65.0,5,4,86,60,1.0,0,1,0,4360.0,1610.0,105000
520,520.0,240.0,0.0,4,0,83,60,1.0,0,1,0,2080.0,960.0,68500
2274,1105.0,480.0,361.0,5,0,50,50,2.0,0,0,0,11370.0,2400.0,154300
1601,936.0,0.0,0.0,5,0,85,7,2.0,0,1,0,8005.0,0.0,129850
1232,616.0,480.0,0.0,5,0,100,60,1.0,0,1,0,6160.0,2400.0,114000
2234,2216.0,1166.0,748.0,9,4,2,1,3.0,1,0,1,20106.0,10494.0,501837
1416,876.0,720.0,0.0,5,4,95,60,1.5,0,1,0,7080.0,3600.0,153900
864,864.0,576.0,0.0,4,0,39,4,1.0,0,0,0,3456.0,2304.0,130000
1189,1189.0,392.0,197.0,6,0,13,13,3.0,0,0,1,7134.0,2352.0,160500
1666,1666.0,575.0,572.0,9,4,4,4,3.0,1,0,1,14994.0,5175.0,310090
1200,1176.0,555.0,0.0,7,0,7,7,3.0,0,0,1,8400.0,3885.0,184900
928,928.0,252.0,0.0,5,0,54,10,1.0,0,0,1,4640.0,1260.0,132000
1336,1288.0,502.0,128.0,5,2,41,41,2.5,0,0,1,6680.0,2510.0,163000
1200,600.0,480.0,120.0,7,0,6,6,2.5,0,0,0,8400.0,3360.0,155000
1427,1427.0,516.0,0.0,6,0,41,41,2.5,0,0,1,8562.0,3096.0,183000
1992,860.0,608.0,254.0,7,3,14,8,3.5,0,0,1,13944.0,4256.0,211000
1540,754.0,495.0,0.0,7,0,16,16,3.5,0,0,1,10780.0,3465.0,184000
1535,0.0,400.0,0.0,5,0,31,31,2.0,0,0,1,7675.0,2000.0,118858
1152,1152.0,484.0,86.0,5,4,46,46,2.0,0,0,1,5760.0,2420.0,180500
1151,1141.0,484.0,30.0,8,0,4,3,3.0,0,0,1,9208.0,3872.0,166000
1138,1138.0,480.0,54.0,6,3,50,50,1.5,0,1,1,6828.0,2880.0,148000
1074,894.0,396.0,0.0,5,4,54,54,1.0,0,0,0,5370.0,1980.0,124000
1561,1561.0,556.0,246.0,9,4,5,5,3.0,1,0,1,14049.0,5004.0,277500
2726,1342.0,725.0,397.0,8,5,15,15,2.5,1,0,1,21808.0,5800.0,350000
1884,1884.0,670.0,296.0,9,4,6,6,3.0,1,0,1,16956.0,6030.0,387000
605,528.0,0.0,0.0,4,0,90,8,2.0,0,1,0,2420.0,0.0,86000
1671,1426.0,550.0,0.0,8,4,34,3,4.0,0,0,1,13368.0,4400.0,290000
797,245.0,0.0,0.0,3,0,110,60,1.0,0,1,0,2391.0,0.0,44000
1961,804.0,560.0,0.0,6,3,9,8,3.5,0,0,1,11766.0,3360.0,215000
1193,1153.0,501.0,144.0,5,0,38,38,3.0,0,0,1,5965.0,2505.0,146500
1382,673.0,490.0,0.0,7,0,10,10,3.5,0,0,0,9674.0,3430.0,165000
2526,714.0,216.0,0.0,6,4,94,60,2.0,0,1,0,15156.0,1296.0,136000
1390,1705.0,550.0,902.0,6,4,53,53,2.5,0,0,1,8340.0,3300.0,252000
1626,764.0,474.0,106.0,7,0,7,7,2.5,1,0,1,11382.0,3318.0,175500
1558,690.0,400.0,0.0,5,4,71,60,1.5,0,1,0,7790.0,2000.0,150000
1422,978.0,286.0,0.0,5,3,50,32,1.0,0,0,1,7110.0,1430.0,139900
1573,1078.0,360.0,0.0,5,4,80,18,2.0,0,1,0,7865.0,1800.0,162900
1116,1116.0,440.0,261.0,6,0,48,48,1.5,0,0,1,6696.0,2640.0,160000
660,0.0,0.0,0.0,2,0,63,60,1.0,0,1,0,1320.0,0.0,63900
1707,1140.0,479.0,144.0,6,3,32,12,2.0,0,0,1,10242.0,2874.0,184000
1466,1466.0,528.0,132.0,5,4,51,51,1.5,0,1,1,7330.0,2640.0,149900
1638,1614.0,495.0,260.0,9,3,10,10,3.0,0,0,1,14742.0,4455.0,300000
1721,988.0,626.0,275.0,5,3,50,50,3.0,0,0,0,8605.0,3130.0,145000
1764,928.0,470.0,0.0,6,0,13,13,3.5,0,0,1,10584.0,2820.0,231500
996,996.0,0.0,0.0,5,4,70,41,2.0,0,1,0,4980.0,0.0,108000
1202,1202.0,304.0,0.0,5,0,54,54,1.5,0,0,1,6010.0,1520.0,120000
988,988.0,572.0,57.0,5,0,49,49,2.0,0,1,0,4940.0,2860.0,128500
1028,1008.0,360.0,0.0,5,4,83,60,1.0,0,1,0,5140.0,1800.0,115000
1284,720.0,240.0,0.0,5,0,63,60,1.5,0,1,0,6420.0,1200.0,110000
1414,707.0,403.0,0.0,8,4,6,6,2.5,0,0,1,11312.0,3224.0,178000
1609,637.0,579.0,0.0,7,4,78,20,1.5,0,0,0,11263.0,4053.0,199500
1525,813.0,400.0,0.0,6,3,13,12,3.5,0,0,1,9150.0,2400.0,183500
1656,624.0,288.0,0.0,5,1,43,43,1.5,0,1,1,8280.0,1440.0,126000
1055,1055.0,440.0,0.0,7,0,33,33,2.0,0,1,1,7385.0,3080.0,148500
1352,676.0,720.0,0.0,5,0,71,4,2.5,0,1,0,6760.0,3600.0,149000
1456,855.0,440.0,0.0,6,3,33,33,2.5,0,1,1,8736.0,2640.0,137900
1719,1719.0,473.0,0.0,8,4,17,17,3.5,0,0,1,13752.0,3784.0,324000
864,864.0,0.0,0.0,5,0,85,60,2.0,0,1,0,4320.0,0.0,98000
987,483.0,264.0,359.0,6,0,37,37,2.0,0,1,0,5922.0,1584.0,103400
1020,780.0,0.0,0.0,5,0,135,14,1.0,0,1,0,5100.0,0.0,94000
1554,1554.0,627.0,108.0,8,4,4,4,2.0,1,0,1,12432.0,5016.0,209500
3390,1528.0,758.0,662.0,10,5,4,4,3.5,1,0,1,33900.0,7580.0,545224
1560,780.0,0.0,0.0,6,0,98,1,1.5,0,1,0,9360.0,0.0,159900
864,864.0,400.0,0.0,4,0,59,59,1.0,0,0,0,3456.0,1600.0,141000
1889,982.0,431.0,0.0,6,3,10,10,2.5,0,0,1,11334.0,2586.0,215000
1040,1040.0,260.0,0.0,5,0,48,0,2.5,0,1,0,5200.0,1300.0,127000
1172,1172.0,366.0,0.0,5,0,56,12,2.0,0,1,1,5860.0,1830.0,128000
1418,1642.0,852.0,0.0,8,4,0,0,2.5,0,0,1,11344.0,6816.0,267916
1367,884.0,560.0,0.0,6,4,79,60,1.0,0,1,0,8202.0,3360.0,127500
1922,0.0,672.0,500.0,7,5,7,7,3.0,0,1,1,13454.0,4704.0,198500
1422,1422.0,576.0,210.0,6,3,29,29,2.0,0,0,1,8532.0,3456.0,175500
1842,985.0,486.0,144.0,7,3,10,10,3.5,0,0,1,12894.0,3402.0,217500
1962,888.0,572.0,0.0,4,3,95,60,1.5,0,1,0,7848.0,2288.0,149500
1120,864.0,656.0,165.0,5,3,44,6,1.5,0,0,1,5600.0,3280.0,148800
2868,1992.0,716.0,208.0,9,4,5,4,3.5,1,0,1,25812.0,6444.0,556581
1478,1478.0,442.0,0.0,6,4,53,53,2.5,0,0,1,8868.0,2652.0,156500
1995,930.0,610.0,0.0,7,3,15,14,3.5,0,0,1,13965.0,4270.0,237000
912,912.0,297.0,0.0,5,0,52,25,1.5,0,0,1,4560.0,1485.0,120000
1326,1326.0,388.0,0.0,6,0,5,5,3.0,0,0,1,7956.0,2328.0,203000
1204,1191.0,461.0,0.0,8,0,23,23,2.0,1,0,1,9632.0,3688.0,130000
1611,780.0,442.0,360.0,6,0,46,46,2.5,0,0,1,9666.0,2652.0,167900
960,960.0,576.0,160.0,4,0,40,40,2.0,0,1,0,3840.0,2304.0,129000
1236,1070.0,447.0,64.0,5,2,53,14,1.5,0,0,1,6180.0,2235.0,134450
1416,816.0,576.0,0.0,5,0,92,3,2.0,0,1,1,7080.0,2880.0,112000
1873,929.0,619.0,360.0,7,3,22,22,3.5,0,0,1,13111.0,4333.0,207000
2128,1040.0,0.0,0.0,5,0,88,60,2.0,0,1,0,10640.0,0.0,62500
1626,764.0,474.0,106.0,7,0,7,6,3.5,1,0,1,11382.0,3318.0,154000
816,816.0,308.0,0.0,5,0,53,53,2.0,0,0,0,4080.0,1540.0,129900
1112,536.0,336.0,0.0,5,0,34,34,1.5,0,1,1,5560.0,1680.0,85000
1111,572.0,288.0,0.0,7,4,84,60,1.0,0,1,0,7777.0,2016.0,116900
1441,855.0,440.0,0.0,6,3,32,32,2.5,0,1,1,8646.0,2640.0,148500
924,672.0,280.0,0.0,4,0,69,60,2.0,0,1,0,3696.0,1120.0,80000
1126,1060.0,506.0,0.0,5,0,26,26,2.0,0,1,1,5630.0,2530.0,152000
992,381.0,319.0,0.0,5,0,56,56,1.0,0,1,0,4960.0,1595.0,155891
1376,768.0,576.0,0.0,6,0,90,60,1.0,0,1,0,8256.0,3456.0,165000
1218,1218.0,676.0,0.0,7,0,1,0,2.0,0,0,1,8526.0,4732.0,204500
1644,728.0,312.0,224.0,5,4,68,15,1.5,0,0,1,8220.0,1560.0,146500
1601,1271.0,478.0,206.0,7,3,32,32,2.0,0,0,1,11207.0,3346.0,157000
2495,1313.0,342.0,0.0,7,4,120,11,2.0,0,1,0,17465.0,2394.0,184000
1509,783.0,393.0,0.0,6,4,8,7,3.5,0,0,1,9054.0,2358.0,183200
1092,1092.0,288.0,116.0,5,1,48,48,1.5,0,1,1,5460.0,1440.0,139000
2418,1311.0,983.0,651.0,7,3,17,16,3.5,1,0,1,16926.0,6881.0,341000
987,483.0,264.0,504.0,6,0,39,39,1.5,0,1,0,5922.0,1584.0,96000
1121,1121.0,440.0,0.0,4,0,7,6,2.0,0,1,1,4484.0,1760.0,140000
1236,912.0,923.0,0.0,6,0,53,14,2.0,0,1,1,7416.0,5538.0,149700
1074,1056.0,495.0,0.0,5,0,35,35,2.5,0,0,1,5370.0,2475.0,153500
733,0.0,487.0,0.0,1,0,58,58,1.0,0,1,1,733.0,487.0,13100
1768,884.0,543.0,252.0,7,0,7,7,3.5,0,0,1,12376.0,3801.0,224900
1266,1257.0,453.0,0.0,7,3,5,5,2.0,0,0,1,8862.0,3171.0,176000
2872,1683.0,541.0,337.0,8,3,18,10,2.5,1,0,1,22976.0,4328.0,285000
1464,1485.0,754.0,84.0,8,0,3,3,3.0,0,0,1,11712.0,6032.0,282922
2157,924.0,487.0,309.0,7,4,44,44,2.5,0,0,1,15099.0,3409.0,226000
2576,1234.0,666.0,466.0,8,4,4,4,2.5,1,0,1,20608.0,5328.0,361919
2798,1398.0,670.0,600.0,9,4,5,4,4.5,1,0,1,25182.0,6030.0,457347
1743,966.0,529.0,0.0,8,2,34,34,2.5,0,0,1,13944.0,4232.0,279000
1567,1567.0,714.0,0.0,6,3,33,33,3.0,0,0,1,9402.0,4284.0,196000
1370,1090.0,479.0,189.0,7,3,34,34,2.0,0,0,1,9590.0,3353.0,152000
2634,1248.0,968.0,368.0,5,0,41,41,4.5,0,0,0,13170.0,4840.0,200000
1590,1570.0,754.0,198.0,8,0,5,4,3.5,0,0,1,12720.0,6032.0,294900
1450,1450.0,788.0,140.0,7,0,2,1,2.0,0,0,1,10150.0,5516.0,224243
1338,832.0,528.0,0.0,6,0,95,60,2.0,0,1,0,8028.0,3168.0,92000
1456,728.0,400.0,0.0,7,4,3,3,2.5,0,0,1,10192.0,2800.0,179540
2392,2392.0,968.0,922.0,10,5,7,7,2.0,1,0,1,23920.0,9680.0,386250
992,530.0,297.0,0.0,4,0,40,40,2.0,0,1,1,3968.0,1188.0,106500
2007,1017.0,812.0,160.0,10,5,2,2,3.5,0,0,1,20070.0,8120.0,310000
2385,1066.0,600.0,275.0,7,3,12,12,2.5,1,0,1,16695.0,4200.0,252000
1646,918.0,240.0,0.0,7,4,69,60,2.0,0,0,0,11522.0,1680.0,164000
1456,728.0,400.0,16.0,7,0,3,3,2.5,0,0,1,10192.0,2800.0,177594
1040,528.0,624.0,0.0,5,0,74,30,1.0,0,1,0,5200.0,3120.0,123900
2624,1370.0,864.0,0.0,6,4,92,60,3.5,0,0,0,15744.0,5184.0,239000
1264,1068.0,528.0,0.0,5,3,45,33,2.0,0,0,1,6320.0,2640.0,169000
1557,1374.0,420.0,18.0,7,3,7,6,2.0,0,0,1,10899.0,2940.0,234000
1287,957.0,541.0,0.0,6,2,33,33,2.5,0,0,1,7722.0,3246.0,173000
1004,1004.0,480.0,180.0,6,3,40,40,2.0,0,0,1,6024.0,2880.0,149000
1162,1162.0,483.0,0.0,7,0,3,3,2.0,0,0,1,8134.0,3381.0,170000
1436,1436.0,529.0,0.0,7,0,2,1,2.0,0,0,1,10052.0,3703.0,225000
960,960.0,300.0,0.0,5,0,47,7,2.0,0,1,1,4800.0,1500.0,144900
1196,1196.0,336.0,0.0,5,0,42,42,2.0,0,1,1,5980.0,1680.0,144000
1269,1256.0,430.0,16.0,8,3,6,5,2.0,0,0,1,10152.0,3440.0,192000
1031,1031.0,230.0,0.0,5,0,58,5,2.0,0,0,1,5155.0,1150.0,145500
720,448.0,280.0,0.0,4,0,110,12,1.0,0,1,1,2880.0,1120.0,86900
1505,1505.0,505.0,90.0,6,3,57,57,2.0,0,0,1,9030.0,3030.0,149500
954,920.0,240.0,0.0,5,4,72,60,1.0,0,0,0,4770.0,1200.0,119750
1500,750.0,564.0,0.0,6,0,5,4,2.5,0,0,1,9000.0,3384.0,173900
1050,1050.0,368.0,0.0,5,0,49,49,2.0,0,0,1,5250.0,1840.0,136500
2687,2062.0,618.0,0.0,8,0,16,16,2.5,1,0,1,21496.0,4944.0,270000
1252,1602.0,564.0,0.0,6,4,50,35,2.0,0,0,1,7512.0,3384.0,235000
1430,384.0,400.0,0.0,7,3,11,10,2.5,0,0,1,10010.0,2800.0,156000
1114,1114.0,576.0,0.0,5,0,7,6,3.0,0,0,0,5570.0,2880.0,153000
1224,1224.0,402.0,425.0,6,0,11,11,3.0,0,0,1,7344.0,2412.0,165000
2504,1122.0,656.0,245.0,9,4,5,3,2.5,1,0,1,22536.0,5904.0,325000
1355,728.0,528.0,0.0,5,0,69,60,2.0,0,0,0,6775.0,2640.0,140000
2294,741.0,658.0,234.0,6,4,47,47,3.0,0,1,1,13764.0,3948.0,202500
1702,1702.0,1052.0,766.0,9,4,2,2,2.5,1,0,1,15318.0,9468.0,367294
1509,1461.0,600.0,219.0,6,2,22,21,3.0,0,0,1,9054.0,3600.0,175000
1717,756.0,642.0,0.0,7,4,95,40,2.0,0,0,0,12019.0,4494.0,140000
1240,1265.0,528.0,0.0,7,0,25,25,2.5,0,0,1,8680.0,3696.0,174000
1166,856.0,400.0,182.0,7,0,5,5,3.0,0,0,1,8162.0,2800.0,190000
1464,504.0,0.0,0.0,5,0,100,8,2.0,0,1,0,7320.0,0.0,129000
1652,1592.0,510.0,136.0,6,4,51,19,2.5,0,0,1,9912.0,3060.0,200000
2142,896.0,509.0,576.0,6,4,42,42,2.5,0,0,1,12852.0,3054.0,193500
1092,1092.0,504.0,260.0,6,0,46,46,2.0,0,0,1,6552.0,3024.0,145000
1671,1022.0,451.0,270.0,7,4,81,60,2.0,0,0,0,11697.0,3157.0,218000
1488,0.0,569.0,232.0,5,5,58,8,1.0,0,1,1,7440.0,2845.0,135000
1624,1444.0,240.0,150.0,5,4,58,58,2.0,0,0,1,8120.0,1200.0,146500
1362,1362.0,460.0,256.0,6,4,5,4,2.0,1,0,1,8172.0,2760.0,194700
1218,1218.0,462.0,210.0,7,0,3,2,3.0,0,0,1,8526.0,3234.0,230348
1068,1124.0,288.0,0.0,6,4,87,60,2.0,0,1,0,6408.0,1728.0,109500
1625,1625.0,576.0,0.0,6,3,31,31,2.5,0,0,1,9750.0,3456.0,242500
1767,1064.0,504.0,0.0,7,3,23,23,3.0,1,0,1,12369.0,3528.0,239000
1050,1050.0,286.0,176.0,6,0,56,10,2.0,0,0,1,6300.0,1716.0,156000
907,907.0,352.0,0.0,4,0,53,53,1.0,0,0,0,3628.0,1408.0,109008
845,0.0,256.0,0.0,2,0,71,60,1.0,0,1,0,1690.0,512.0,68104
2501,1242.0,751.0,466.0,8,3,15,15,2.5,1,0,1,20008.0,6008.0,290000
1209,1209.0,504.0,0.0,5,0,44,44,2.0,0,0,1,6045.0,2520.0,159000
906,348.0,231.0,0.0,4,0,73,60,1.0,0,1,0,3624.0,924.0,87000
1601,1581.0,670.0,479.0,8,3,9,8,3.0,0,0,1,12808.0,5360.0,272000
1336,1336.0,502.0,0.0,7,0,5,4,3.0,0,0,1,9352.0,3514.0,198000
1656,801.0,440.0,0.0,4,0,70,25,2.0,0,1,0,6624.0,1760.0,119164
1124,0.0,0.0,0.0,5,4,56,56,1.0,0,1,0,5620.0,0.0,93000
1892,982.0,431.0,647.0,7,3,10,9,2.5,0,0,1,13244.0,3017.0,226750
1699,978.0,420.0,0.0,3,0,110,40,3.0,0,1,0,5097.0,1260.0,95000
1416,780.0,312.0,0.0,6,0,62,60,1.5,0,1,0,8496.0,1872.0,139900
1306,728.0,0.0,0.0,3,0,70,44,1.0,0,1,0,3918.0,0.0,76500
672,672.0,308.0,0.0,4,0,70,5,1.0,0,1,0,2688.0,1232.0,86900
1160,1113.0,257.0,0.0,5,0,42,42,2.0,0,0,1,5800.0,1285.0,152500
930,911.0,286.0,115.0,4,0,57,57,1.0,0,1,1,3720.0,1144.0,99000
708,420.0,0.0,0.0,4,0,70,60,1.0,0,1,0,2832.0,0.0,82500
1575,1575.0,529.0,0.0,6,0,18,18,3.0,0,0,1,9450.0,3174.0,179200
1059,1059.0,286.0,0.0,5,0,44,44,2.0,0,1,1,5295.0,1430.0,142500
1005,1005.0,440.0,0.0,4,0,46,46,2.0,0,1,0,4020.0,1760.0,115400
1929,1057.0,650.0,0.0,7,3,9,9,3.5,0,0,1,13503.0,4550.0,226000
1200,600.0,480.0,0.0,7,0,5,5,2.5,0,0,0,8400.0,3360.0,144152
2690,1765.0,795.0,221.0,8,4,7,7,2.5,1,0,1,21520.0,6360.0,370000
833,833.0,495.0,0.0,5,0,26,26,2.0,0,0,1,4165.0,2475.0,149900
1456,728.0,429.0,0.0,6,0,4,4,2.5,0,0,1,8736.0,2574.0,172785
864,864.0,720.0,0.0,5,0,60,8,2.0,0,0,0,4320.0,3600.0,129000
1586,1362.0,435.0,0.0,6,3,31,12,2.0,0,0,1,9516.0,2610.0,181000
1370,1058.0,300.0,272.0,5,3,54,54,2.0,0,0,0,6850.0,1500.0,148000
914,914.0,0.0,0.0,6,0,8,8,2.0,0,1,0,5484.0,0.0,117250
1555,1373.0,430.0,16.0,7,3,5,4,2.0,0,0,1,10885.0,3010.0,192500
1556,716.0,452.0,0.0,6,3,30,30,3.5,0,1,1,9336.0,2712.0,151000
882,882.0,461.0,0.0,5,0,38,38,2.0,0,0,0,4410.0,2305.0,112500
1167,915.0,495.0,0.0,5,4,90,60,1.0,0,1,0,5835.0,2475.0,144000
1800,1800.0,944.0,714.0,9,4,3,2,3.0,1,0,1,16200.0,8496.0,370967
1456,855.0,440.0,0.0,6,3,35,35,2.5,0,1,1,8736.0,2640.0,149900
1660,831.0,493.0,95.0,7,0,8,8,2.5,0,0,1,11620.0,3451.0,195000
1482,384.0,392.0,170.0,7,3,18,18,2.5,0,0,1,10374.0,2744.0,163900
1522,1190.0,552.0,136.0,6,3,26,26,2.0,0,0,1,9132.0,3312.0,182000
2036,2190.0,780.0,246.0,9,5,2,2,3.0,0,0,1,18324.0,7020.0,410000
1595,1582.0,672.0,0.0,5,0,19,19,3.0,0,0,0,7975.0,3360.0,152000
1686,891.0,462.0,172.0,7,0,5,5,2.5,0,0,1,11802.0,3234.0,184000
1344,1344.0,784.0,200.0,7,0,13,12,4.0,0,0,1,9408.0,5488.0,206300
1652,1652.0,928.0,0.0,5,0,40,40,2.0,0,0,0,8260.0,4640.0,146500
1337,832.0,263.0,0.0,4,0,54,54,1.0,0,0,1,5348.0,1052.0,108000
1920,570.0,487.0,143.0,7,3,42,18,3.0,0,0,1,13440.0,3409.0,170000
848,848.0,420.0,205.0,6,0,6,6,2.0,0,0,1,5088.0,2520.0,145000
1055,1057.0,440.0,0.0,7,2,35,35,2.5,0,1,1,7385.0,3080.0,123000
1291,1291.0,431.0,0.0,6,4,14,13,2.0,0,0,1,7746.0,2586.0,173000
720,624.0,484.0,0.0,6,0,82,7,1.0,0,1,0,4320.0,2904.0,105900
988,462.0,297.0,0.0,4,0,37,37,2.0,0,1,1,3952.0,1188.0,91000
